name,product_type,availability,price,original_price,discount_amount,discount_percentage,has_discount,buen_fin_discount,black_friday_discount,image,reviews_count,rating,search_type,date
"Samsung Celular Galaxy M15 5G Azul Claro 4GB RAM 128GB, Nacional con Garantía",smartphone,Available,2475.23,3999.0,1523.77,38.1,Yes,False,False,https://m.media-amazon.com/images/I/61dqezq8ZVL._AC_UL320_.jpg,317.0,4.6,Samsung,2024-12-12
"Samsung Celular Galaxy M55 5G Verde 8GB RAM 128GB, Nacional con Garantía",smartphone,Available,4997.07,7999.0,3001.93,37.53,Yes,False,False,https://m.media-amazon.com/images/I/61NGj+turzL._AC_UL320_.jpg,77.0,4.4,Samsung,2024-12-12
SAMSUNG Smartphone A05 4+128GB LTE Negro Dual SIM,smartphone,Available,1969.0,2999.0,1030.0,34.34,Yes,False,False,https://m.media-amazon.com/images/I/61UjBLFlH2L._AC_UL320_.jpg,160.0,4.3,Samsung,2024-12-12
"SAMSUNG Celular Galaxy M35 5G Azul Claro 6GB RAM 128GB, Nacional con Garantía",smartphone,Available,4199.0,5499.0,1300.0,23.64,Yes,False,False,https://m.media-amazon.com/images/I/61n3Td68iIL._AC_UL320_.jpg,73.0,4.7,Samsung,2024-12-12
"Samsung Celular Galaxy A55 5G Negro 8GB RAM 256GB, Nacional con Garantía",smartphone,Available,7499.0,8999.0,1500.0,16.67,Yes,False,False,https://m.media-amazon.com/images/I/61COp0E7UxL._AC_UL320_.jpg,86.0,4.5,Samsung,2024-12-12
SAMSUNG Galaxy A35 8GB 256GB 5G Negro,smartphone,Available,5407.0,5407.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61ljRHkT8DL._AC_UL320_.jpg,25.0,4.3,Samsung,2024-12-12
"SAMSUNG Galaxy A06 Negro 4GB RAM 64GB, Nacional con Garantía",smartphone,Available,1829.0,2599.0,770.0,29.63,Yes,False,False,https://m.media-amazon.com/images/I/61Kpp0oa8kL._AC_UL320_.jpg,3.0,4.2,Samsung,2024-12-12
"SAMSUNG Galaxy S24 FE 5G Grafito 8GB RAM 256GB, AI, Nacional con Garantía",smartphone,Available,11829.09,15499.0,3669.91,23.68,Yes,False,False,https://m.media-amazon.com/images/I/51+38FqDMGL._AC_UL320_.jpg,9.0,5.0,Samsung,2024-12-12
"SAMSUNG Celular Galaxy A25 5G 8GB 256GB 6.5"" FHD+ 120 Hz 50 MP Blue Black",smartphone,Available,4199.0,4199.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61RVVxjv26L._AC_UL320_.jpg,56.0,4.4,Samsung,2024-12-12
"Samsung Celular Galaxy A35 5G Azul Claro 6GB RAM 128GB, Nacional con Garantía",smartphone,Available,5499.0,6299.0,800.0,12.7,Yes,False,False,https://m.media-amazon.com/images/I/61DJLqLXDQL._AC_UL320_.jpg,54.0,4.5,Samsung,2024-12-12
